Year,Category,Frequency,
2012,Severe Storm,7,
2012,Tropical Cyclone,2,
2012,Wildfire,1,
2012,Winter Storm,0,
2013,Drought,1,
2013,Flooding,2,
2013,Freeze,0,
2013,Severe Storm,7,
2013,Tropical Cyclone,0,
2013,Wildfire,0,
2013,Winter Storm,0,
2014,Drought,1,
2014,Flooding,1,
2014,Freeze,0,
2014,Severe Storm,6,
2014,Tropical Cyclone,0,
2014,Wildfire,0,
2014,Winter Storm,1,
2015,Drought,1,
2015,Flooding,2,
2015,Freeze,0,
2015,Severe Storm,6,
2015,Tropical Cyclone,0,
2015,Wildfire,1,
2015,Winter Storm,1,
2016,Drought,1,
2016,Flooding,4,
2016,Freeze,0,
2016,Severe Storm,8,
2016,Tropical Cyclone,1,
2016,Wildfire,1,
2016,Winter Storm,0,
2017,Drought,1,
2017,Flooding,2,
2017,Freeze,1,
2017,Severe Storm,10,
2017,Tropical Cyclone,3,
2017,Wildfire,1,
2017,Winter Storm,0,
2018,Drought,1,
2018,Flooding,0,
2018,Freeze,0,
2018,Severe Storm,9,
2018,Tropical Cyclone,2,
2018,Wildfire,1,
2018,Winter Storm,2,
2019,Drought,0,
2019,Flooding,3,
2019,Freeze,0,
2019,Severe Storm,8,
2019,Tropical Cyclone,2,
2019,Wildfire,1,
2019,Winter Storm,0,
2020,Drought,1,
2020,Flooding,0,
2020,Freeze,0,
2020,Severe Storm,13,
2020,Tropical Cyclone,7,
2020,Wildfire,1,
2020,Winter Storm,0,
2021,Drought,1,
2021,Flooding,2,
2021,Freeze,0,
2021,Severe Storm,11,
2021,Tropical Cyclone,4,
2021,Wildfire,1,
2021,Winter Storm,1,
2022,Drought,1,
2022,Flooding,1,
2022,Freeze,0,
2022,Severe Storm,11,
2022,Tropical Cyclone,3,
2022,Wildfire,1,
2022,Winter Storm,1,
