Industry/Size Band,Stock_levels_are_higher_than_normal,Stock levels are lower than normal ,Prices_increased_more_than_normal,Prices decreased more than normal,Demand increased more than normal,Demand did not increase
Manufacturing,0.08,0.26,0.28,0.02,0.13,0.72
"Water supply, sewerage, waste management and remediation activities",,,,,,
Construction,0.02,0.05,0.23,0.00,0.15,0.70
Wholesale and retail trade; repair of motor vehicles and motorcycles,0.18,0.19,0.31,,0.12,0.75
Transportation and storage,,0.01,0.05,0.08,0.11,0.55
Accommodation and food service activities,0.02,0.29,0.23,,0.07,0.78
Information and communication,0.01,,0.06,0.01,0.11,0.70
Real estate activities,0.00,0.16,0.11,,0.17,0.64
"Professional, scientific and technical activities",0.02,,0.07,0.03,0.18,0.73
Administrative and support service activities,,0.04,0.12,0.02,0.17,0.65
Education,0.00,,,0.06,0.25,0.73
Human health and social work activities,,0.06,,0.00,,
"Arts, entertainment and recreation",,0.15,0.13,,0.29,0.58
Other service activities,,0.19,0.06,0.00,0.13,0.73
0 - 9,0.03,0.10,0.16,0.02,0.14,0.72
10 - 49,0.11,0.12,0.23,,0.16,0.68
50 - 99,0.16,0.09,0.20,,0.21,0.64
100 -249,0.12,0.07,0.18,,0.18,0.64
250 +,0.12,0.08,0.14,,0.15,0.59
All size bands excluding 0 - 9,0.12,0.12,0.22,,0.17,0.67
All businesses,0.04,0.10,0.17,0.01,0.14,0.71
Manufacturing,0.08,0.16,0.30,0.02,0.14,0.68
"Water supply, sewerage, waste management and remediation activities",,,,,,
Construction,0.03,0.05,0.24,0.00,0.16,0.69
Wholesale and retail trade; repair of motor vehicles and motorcycles,0.16,0.17,0.30,0.01,0.14,0.71
Transportation and storage,,,0.07,0.03,0.03,0.76
Accommodation and food service activities,0.07,0.29,0.20,,0.06,0.77
Information and communication,,,0.03,0.02,0.11,0.68
Real estate activities,0.00,0.03,0.09,0.04,0.18,0.58
"Professional, scientific and technical activities",0.04,0.02,0.06,0.02,0.12,0.79
Administrative and support service activities,0.02,0.05,0.11,0.03,0.16,0.70
Education,,,0.14,0.00,0.26,0.64
Human health and social work activities,,0.16,,,0.11,0.81
"Arts, entertainment and recreation",,0.09,0.03,0.00,0.20,0.73
Other service activities,0.14,0.22,0.16,0.05,,0.88
0 - 9,0.05,0.08,0.16,0.02,0.12,0.73
10 - 49,0.10,0.17,0.20,,0.15,0.70
50 - 99,0.15,0.09,0.17,,0.18,0.68
100 -249,0.14,0.08,0.16,0.01,0.16,0.66
250 +,0.11,0.08,0.13,,0.14,0.65
All size bands excluding 0 - 9,0.11,0.15,0.19,,0.16,0.70
All businesses,0.05,0.09,0.16,0.02,0.13,0.73
Manufacturing,0.07,0.12,0.25,0.02,0.22,0.68
"Water supply, sewerage, waste management and remediation activities",,,,,,
Construction,0.05,0.05,0.22,0.00,0.20,0.56
Wholesale and retail trade; repair of motor vehicles and motorcycles,0.20,0.16,0.30,0.02,0.19,0.68
Transportation and storage,,0.03,0.10,0.00,0.14,0.80
Accommodation and food service activities,0.07,0.32,0.27,,0.22,0.65
Information and communication,0.02,0.03,0.06,0.03,0.12,0.72
Real estate activities,0.05,0.07,0.05,,0.30,0.47
"Professional, scientific and technical activities",0.02,,0.06,0.02,0.18,0.71
Administrative and support service activities,0.01,0.08,0.14,,0.25,0.66
Education,,,,0.13,0.41,0.48
Human health and social work activities,0.02,0.02,0.01,0.00,0.22,0.63
"Arts, entertainment and recreation",0.01,0.10,0.08,0.02,0.16,0.68
Other service activities,,0.18,0.04,0.00,0.05,0.94
0 - 9,0.04,0.08,0.16,0.02,0.19,0.68
10 - 49,0.13,0.14,0.22,,0.21,0.64
50 - 99,0.15,0.09,0.19,,0.25,0.61
100 -249,0.13,0.09,0.18,,0.22,0.61
250 +,0.12,0.08,0.13,,0.19,0.60
All size bands excluding 0 - 9,0.13,0.13,0.21,,0.22,0.63
All businesses,0.05,0.09,0.16,0.01,0.19,0.67
Manufacturing,0.13,0.23,0.27,,0.19,0.69
"Water supply, sewerage, waste management and remediation activities",,,,,,
Construction,0.02,0.12,0.21,0.03,0.19,0.65
Wholesale and retail trade; repair of motor vehicles and motorcycles,0.16,0.20,0.32,0.02,0.17,0.69
Transportation and storage,,0.02,0.19,0.00,0.38,0.49
Accommodation and food service activities,0.04,0.17,0.14,,0.19,0.67
Information and communication,0.01,0.04,0.04,0.03,0.10,0.74
Real estate activities,0.04,0.16,0.08,0.00,0.30,0.56
"Professional, scientific and technical activities",0.02,0.02,0.07,0.03,0.18,0.73
Administrative and support service activities,0.01,0.04,0.10,0.03,0.24,0.67
Education,,,0.07,0.00,0.34,0.64
Human health and social work activities,0.05,0.09,0.06,0.00,0.33,0.41
"Arts, entertainment and recreation",,0.08,0.07,0.00,0.05,0.81
Other service activities,0.07,0.15,0.05,0.00,0.05,0.75
0 - 9,0.04,0.10,0.15,0.02,0.19,0.69
10 - 49,0.12,0.14,0.20,,0.21,0.63
50 - 99,0.16,0.10,0.19,,0.24,0.61
100 -249,0.14,0.09,0.17,,0.20,0.63
250 +,0.12,0.09,0.12,,0.21,0.57
All size bands excluding 0 - 9,0.13,0.13,0.20,,0.22,0.63
All businesses,0.05,0.10,0.16,0.02,0.19,0.68
Manufacturing,0.17,0.23,0.28,,0.20,0.68
"Water supply, sewerage, waste management and remediation activities",,,,,,
Construction,,0.11,0.24,0.01,0.21,0.58
Wholesale and retail trade; repair of motor vehicles and motorcycles,0.12,0.24,0.29,,0.17,0.65
Transportation and storage,,0.02,0.09,0.00,0.25,0.50
Accommodation and food service activities,0.08,0.31,0.20,,0.12,0.74
Information and communication,0.01,0.02,0.03,0.04,0.17,0.72
Real estate activities,0.05,0.06,0.05,0.00,0.28,0.57
"Professional, scientific and technical activities",0.01,0.02,0.06,0.02,0.20,0.72
Administrative and support service activities,0.02,0.06,0.07,,0.26,0.63
Education,0.00,0.06,0.06,0.00,0.32,0.59
Human health and social work activities,0.02,0.02,0.01,0.00,,
"Arts, entertainment and recreation",0.10,0.09,0.08,0.00,0.17,0.65
Other service activities,,,,,,
0 - 9,0.04,0.10,0.15,,0.18,0.67
10 - 49,0.13,0.14,0.18,,0.21,0.63
50 - 99,0.14,0.10,0.16,,0.23,0.61
100 -249,0.12,0.11,0.15,,0.23,0.60
250 +,0.10,0.09,0.11,,0.21,0.54
All size bands excluding 0 - 9,0.13,0.13,0.18,,0.21,0.63
All businesses,0.05,0.10,0.15,,0.19,0.66
Manufacturing,0.08,0.11,0.09,,0.16,0.74
"Water supply, sewerage, waste management and remediation activities",,,,,,
Construction,0.01,0.06,0.08,0.03,0.16,0.63
Wholesale and retail trade; repair of motor vehicles and motorcycles,0.08,0.21,0.18,0.01,0.14,0.68
Transportation and storage,,0.03,,,0.11,0.78
Accommodation and food service activities,0.13,0.32,0.10,,0.19,0.62
Information and communication,,0.02,,0.02,0.04,0.84
Real estate activities,0.00,,0.00,0.00,,
"Professional, scientific and technical activities",0.01,0.02,0.03,,0.09,0.83
Administrative and support service activities,,0.05,0.09,0.01,0.17,0.72
Education,,0.08,0.00,,,
Human health and social work activities,0.01,,0.04,,,
"Arts, entertainment and recreation",0.04,0.12,,,0.28,0.63
Other service activities,,0.21,,0.00,0.24,0.58
0 - 9,0.03,0.09,0.07,0.01,0.13,0.72
10 - 49,0.08,0.15,0.09,0.01,0.19,0.66
50 - 99,0.09,0.13,0.09,0.01,0.20,0.63
100 -249,0.11,0.11,0.06,0.01,0.18,0.62
250 +,0.09,0.14,0.06,0.01,0.19,0.60
All size bands excluding 0 - 9,0.08,0.15,0.09,0.01,0.19,0.65
All businesses,0.03,0.10,0.07,0.01,0.14,0.71
Manufacturing,0.08,0.29,0.09,,0.22,0.68
"Water supply, sewerage, waste management and remediation activities",0.01,,,,,
Construction,0.03,0.07,0.11,0.01,0.08,0.68
Wholesale and retail trade; repair of motor vehicles and motorcycles,0.11,0.23,0.13,,0.17,0.70
Transportation and storage,,0.05,0.02,,0.07,0.78
Accommodation and food service activities,0.11,0.35,0.08,0.02,0.27,0.58
Information and communication,,0.01,0.02,,0.11,0.76
Real estate activities,0.00,0.07,,0.00,,
"Professional, scientific and technical activities",0.02,0.02,0.04,0.02,0.09,0.80
Administrative and support service activities,0.01,0.03,0.05,0.01,0.08,0.68
Education,,,,,,
Human health and social work activities,0.05,0.09,,0.00,,
"Arts, entertainment and recreation",0.02,0.09,0.02,,0.35,0.51
Other service activities,0.06,0.18,0.07,0.00,0.45,0.49
0 - 9,0.04,0.11,0.07,,0.14,0.70
10 - 49,0.10,0.16,0.10,0.01,0.21,0.64
50 - 99,0.09,0.13,0.09,0.01,0.22,0.63
100 -249,0.12,0.11,0.06,0.01,0.17,0.62
250 +,0.10,0.13,0.06,0.01,0.19,0.61
All size bands excluding 0 - 9,0.10,0.15,0.09,0.01,0.21,0.63
All businesses,0.05,0.11,0.07,0.01,0.15,0.69
Manufacturing,0.07,0.24,0.07,0.03,0.16,0.77
"Water supply, sewerage, waste management and remediation activities",0.01,,,,,
Construction,0.05,0.08,0.11,,0.10,0.75
Wholesale and retail trade; repair of motor vehicles and motorcycles,0.08,0.15,0.09,0.02,0.09,0.80
Transportation and storage,,0.06,0.03,0.03,0.09,0.72
Accommodation and food service activities,,0.30,0.05,,0.02,0.82
Information and communication,0.02,0.01,0.01,0.02,0.10,0.83
Real estate activities,0.00,0.10,,,,
"Professional, scientific and technical activities",0.02,0.02,0.01,0.03,0.07,0.84
Administrative and support service activities,0.02,0.03,0.04,0.01,0.06,0.75
Education,0.00,,0.00,0.06,,
Human health and social work activities,0.02,0.05,,0.04,0.15,0.70
"Arts, entertainment and recreation",0.02,0.05,0.03,,0.08,0.34
Other service activities,0.01,0.46,,,,
0 - 9,0.03,0.07,0.05,0.02,0.08,0.79
10 - 49,0.10,0.15,0.08,0.01,0.15,0.71
50 - 99,0.12,0.11,0.07,0.02,0.14,0.72
100 -249,0.11,0.12,0.05,0.02,0.12,0.69
250 +,0.10,0.13,0.05,0.02,0.13,0.68
All size bands excluding 0 - 9,0.10,0.15,0.08,0.02,0.15,0.71
All businesses,0.04,0.08,0.05,0.02,0.09,0.78
Manufacturing,0.07,0.26,0.15,0.01,,
"Water supply, sewerage, waste management and remediation activities",0.14,,,,,
Construction,0.01,0.05,0.08,0.01,0.01,0.86
